"","X","address","city","country","name","province","reviews.date","reviews.text","reviews.title","reviews.username","lang","translated_text","cleaned_text","ratings_tf","rating"
"781",20073,"309 N Peters Rd","Knoxville","US","Microtel Inn By Wyndham Knoxville","Concord Farragut","8/4/2016","I booked this hotel because I just wanted a place to sleep for a couple of hours on my way from NC to KY. For forty some dollars I feel that I got what I paid for. I liked that it was close to I40 and the front desk was manned at my 3:30am arrival. As soon as I entered the room it had a noticeable bad smell - the smell wasn't unbearable - and was quite warmer than the lobby and outside temperature even with the AC in full force. The furniture was outdated and the room didn't have a microwave. I would not stay here if you are looking to be comfortable, however, for what I needed it was perfect: cheap, not far from the hwy, easy check in and out. Would recommend if you are heading west or north of TN and Knoxville is an opportune place to stop for a short amount of time. Would not recommend if you are trying to enjoy the city for a couple days.","Short stay, not terrible","Akajun","en","I booked this hotel because I just wanted a place to sleep for a couple of hours on my way from NC to KY. For forty some dollars I feel that I got what I paid for. I liked that it was close to I40 and the front desk was manned at my 3:30am arrival. As soon as I entered the room it had a noticeable bad smell - the smell wasn't unbearable - and was quite warmer than the lobby and outside temperature even with the AC in full force. The furniture was outdated and the room didn't have a microwave. I would not stay here if you are looking to be comfortable, however, for what I needed it was perfect: cheap, not far from the hwy, easy check in and out. Would recommend if you are heading west or north of TN and Knoxville is an opportune place to stop for a short amount of time. Would not recommend if you are trying to enjoy the city for a couple days."," book hotel just want place sleep couple hour way nc ky forty dollar feel get pay like close front desk man arrival soon enter room noticeable bad smell smell wasnt unbearable quite warm lobby outside temperature even ac full force furniture outdate room didnt microwave stay look comfortable however need perfect cheap far hwy easy check recommend head west north tn knoxville opportune place stop short amount time recommend try enjoy city couple day",1,2
"782",20193,"Quartier Les Bruyeres Les Menuires","Lebanon","US","H��tel Les Bruy��res","OK","4/4/2015","Nice hotel. Friendly reception. Clean rooms, perhaps a bit small, but in this area you are outside most of the time so this is not so important. Direct access to ski pistes. I recommend this hotel.","Correct hotel.","A Traveler","en","Nice hotel. Friendly reception. Clean rooms, perhaps a bit small, but in this area you are outside most of the time so this is not so important. Direct access to ski pistes. I recommend this hotel.","nice hotel friendly reception clean room perhaps bite small area outside much time important direct access ski piste recommend hotel",3,4
"783",20197,"Quartier Les Bruyeres Les Menuires","Lebanon","US","H��tel Les Bruy��res","OK","3/6/2016","Hotellet och dess nromrde vertrffade alla vra frvntningar. Mycket trevligt bemtande frn personalen, utmrkt relaxavdelning och ett fantastiskt lge mitt i backen","Les Bruy��res","A Traveler","sv","The hotel and its nomrde verrusted all VRA confines. Very nice bemting from the staff, exchanged relaxation area and a fantastic lge in the middle of the hill"," hotel nomrde verrusted vra confine nice bemting staff exchange relaxation area fantastic lge middle hill",3,2
"784",20215,"4965 Montevallo Rd","Birmingham","US","Comfort Inn Birmingham - Irondale","Jefferson Park","12/29/2015","Relatively new hotel, clean, and nice employees. Very helpful.","Bowl trip visit","A Traveler","en","Relatively new hotel, clean, and nice employees. Very helpful.","relatively new hotel clean nice employee helpful",3,4
"785",20227,"4965 Montevallo Rd","Birmingham","US","Comfort Inn Birmingham - Irondale","Jefferson Park","2/24/2015","not your typical Comfort Inn. It was Ok for a night, and best thing off that exit","not your typical Comfort Inn","Jeff","en","not your typical Comfort Inn. It was Ok for a night, and best thing off that exit"," typical comfort inn okay night good thing exit",3,3
"786",20262,"4965 Montevallo Rd","Birmingham","US","Comfort Inn Birmingham - Irondale","Jefferson Park","7/31/2015","We loved this hotel but were greeted by a lovely lady on check in who was friendly, efficient and helpful. The morning staff however took minutes to get to the front desk, acted like we had interfered with their break and couldn't be bothered doing a receipt. The Hotel itself we couldn't fault. The room was clean and welcoming and... More","Great hotel but staff reception varies","glassyartist","en","We loved this hotel but were greeted by a lovely lady on check in who was friendly, efficient and helpful. The morning staff however took minutes to get to the front desk, acted like we had interfered with their break and couldn't be bothered doing a receipt. The Hotel itself we couldn't fault. The room was clean and welcoming and... More"," love hotel greet lovely lady check friendly efficient helpful morning staff however take minute get front desk act like interfere break couldnt bother receipt hotel couldnt fault room clean welcome much",1,5
"787",20274,"4965 Montevallo Rd","Birmingham","US","Comfort Inn Birmingham - Irondale","Jefferson Park","3/27/2016","Montevallo Comfort Inn...We usually have a fun little weekend, my child is in honor band every year. We were locked out of our room on day 2, the front desk people saying we did not reserve 2 nights, when I had already paid for two. The elevators were closed down. Had to use 4 flights of stairs each time to... More","rude staff/overcharged","Heather","en","Montevallo Comfort Inn...We usually have a fun little weekend, my child is in honor band every year. We were locked out of our room on day 2, the front desk people saying we did not reserve 2 nights, when I had already paid for two. The elevators were closed down. Had to use 4 flights of stairs each time to... More","montevallo comfort inn usually fun little weekend child honor band every year lock room day front desk people say reserve night already pay two elevator close use flight stair time much",3,5
"788",20294,"2091 Eatonton Rd","Madison","US","Super 8 Madison","GA","7/5/2015","One day getaway was relaxing for a 1 day getaway. Bed was queen sized and bathroom was large. Cozy room with fridge and coffee maker. Had to use microwave in breakfast area because there was not one in room. The room and bathroom was clean but there was several flies in bathroom upon arrival. Hotel had soda vending machine but no snack machine.","Decent stay for one day getaway.","A Traveler","en","One day getaway was relaxing for a 1 day getaway. Bed was queen sized and bathroom was large. Cozy room with fridge and coffee maker. Had to use microwave in breakfast area because there was not one in room. The room and bathroom was clean but there was several flies in bathroom upon arrival. Hotel had soda vending machine but no snack machine.","one day getaway relax day getaway bed queen size bathroom large cozy room fridge coffee maker use microwave breakfast area one room room bathroom clean several fly bathroom upon arrival hotel soda vend machine snack machine",3,4
"789",20305,"2091 Eatonton Rd","Madison","US","Super 8 Madison","GA","4/8/2016","Exceeded my expectations, all new Thomasville furniture and bedding. Spent the night prior to the Masters.","Better than i thought it would be.","Christopher","en","Exceeded my expectations, all new Thomasville furniture and bedding. Spent the night prior to the Masters.","exceed expectation new thomasville furniture bed spend night prior master",3,1
"790",20325,"2091 Eatonton Rd","Madison","US","Super 8 Madison","GA","7/17/2015","Great service and very clean hotel. Only negative was the hot tub was full of rocks and not operating","Great visit","Debbie","en","Great service and very clean hotel. Only negative was the hot tub was full of rocks and not operating","great service clean hotel negative hot tub full rock operate",3,3
"791",21038,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","5/19/2016","room was quite clean but in poor condition. Only fan/light worked in bathroom and was extremely loud to point when taking a shower was aggravating for the mere 5 minutes. The water literally trickled out of shower head. bathroom door was in poor condition. bed was fairly comfy. carpet was very old, again poor condition and wouldn't walk barefoot on it. The room was very clean but needed a renovation 10 years ago jacuzzi was broken too..","Clean but needs lots of repair, dated decor","Holly","en","room was quite clean but in poor condition. Only fan/light worked in bathroom and was extremely loud to point when taking a shower was aggravating for the mere 5 minutes. The water literally trickled out of shower head. bathroom door was in poor condition. bed was fairly comfy. carpet was very old, again poor condition and wouldn't walk barefoot on it. The room was very clean but needed a renovation 10 years ago jacuzzi was broken too..","room quite clean poor condition fan light work bathroom extremely loud point take shower aggravate mere minute water literally trickle shower head bathroom door poor condition bed fairly comfy carpet old poor condition wouldnt walk barefoot room clean need renovation year ago jacuzzi break ",1,3
"792",21048,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","6/4/2016","Room size was great, shower head was great, beds were fine. Only downfall was the lighting. Was too dim for makeup application and carpets felt dirty so I had 2 wear sandles if I walked. Overall, clean room.","Great stay","Anthony","en","Room size was great, shower head was great, beds were fine. Only downfall was the lighting. Was too dim for makeup application and carpets felt dirty so I had 2 wear sandles if I walked. Overall, clean room.","room size great shower head great bed fine downfall light dim makeup application carpet feel dirty wear sandles walk overall clean room",3,1
"793",21049,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","6/7/2016","Pool was broken..","Great stay","Rosendo","en","Pool was broken..","pool break",3,2
"794",21063,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","5/26/2016","Overnight stay in Anaheim to visit with an old friend and watch the Angel's play. For the price I paid for and what came included-- WiFi and breakfast, it was worth the cost as I wasn't looking for much in high end amenities. The toilet basin wasn't filling up and was causing some flushing issues. Front desk was made aware of it and resolved it after I checked out. I was literally here for 12 hours and no complaints. And it was quiet.","Overnight stay in Anaheim","PAUL","en","Overnight stay in Anaheim to visit with an old friend and watch the Angel's play. For the price I paid for and what came included-- WiFi and breakfast, it was worth the cost as I wasn't looking for much in high end amenities. The toilet basin wasn't filling up and was causing some flushing issues. Front desk was made aware of it and resolved it after I checked out. I was literally here for 12 hours and no complaints. And it was quiet.","overnight stay anaheim visit old friend watch angels play price pay come include wifi breakfast worth cost wasnt look much high end amenity toilet basin wasnt fill cause flush issue front desk make aware resolve check literally hour complaint quiet",1,5
"795",21069,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","6/2/2016","I PLANNED MY TWO NITE STAY AROUND THE HEATED POOL JACUZZI,but they were both O.O.O.,( out of order,,,)THE OLD SCHOOL T.V. was hard to watch,the Waffles were the only thing that was good about my stay...I asked the Front Desk girl for a Pen. She offered me a non-hotel pen,so I asked for a Travelodge Pen...Also, when I checked in, the desk clerk told me I could use the Pool their sister hotel, Ramada Inn,,but it to was closed for repairs maintenance... So Ghetto,,,","NO POOL","M","en","I PLANNED MY TWO NITE STAY AROUND THE HEATED POOL JACUZZI,but they were both O.O.O.,( out of order,,,)THE OLD SCHOOL T.V. was hard to watch,the Waffles were the only thing that was good about my stay...I asked the Front Desk girl for a Pen. She offered me a non-hotel pen,so I asked for a Travelodge Pen...Also, when I checked in, the desk clerk told me I could use the Pool their sister hotel, Ramada Inn,,but it to was closed for repairs maintenance... So Ghetto,,,"," plan two nite stay around heat pool jacuzzi o o o order old school t v hard watch waffle thing good stay ask front desk girl pen offer non hotel pen ask travelodge pen also check desk clerk tell can use pool sister hotel ramada inn close repair maintenance ghetto",3,3
"796",21099,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","10/2/2016","This is a great hotel for Disneyland on a budget. The walk is deceivingly long, especially after walking in the parks all day. Getting an Uber or Lyft proved difficult for some reason, as the drivers constantly passed the hotel or pickup location at the parks, but this is not the hotel's issue.","Nice place for the price","A Traveler","en","This is a great hotel for Disneyland on a budget. The walk is deceivingly long, especially after walking in the parks all day. Getting an Uber or Lyft proved difficult for some reason, as the drivers constantly passed the hotel or pickup location at the parks, but this is not the hotel's issue."," great hotel disneyland budget walk deceivingly long especially walk park day get uber lyft prove difficult reason driver constantly pass hotel pickup location park hotels issue",1,3
"797",21102,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","7/5/2014","not bad for the price patkin is limited. as for the tip down below about cancer california has a law that says you have to post that. if your room has a tv the tv warning is posted","Nice place for the price","PAUL GARCIA","en","not bad for the price patkin is limited. as for the tip down below about cancer california has a law that says you have to post that. if your room has a tv the tv warning is posted"," bad price patkin limit tip cancer california law say post room tv tv warn post",1,1
"798",21122,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","9/24/2016","Requested a downstairs or lower floor- when we arrived and mind you we called letting them know we would be late getting in. We were on the 3rd floor. The room was dirty, there wasn't any coffee cups or water cups. the roof had water damage. the door was not sealed and the sunlight came in long with the heat. the shower head was like a slow drip if you wanted to rinse you needed to fill the tub and rinse this way. Went down to get coffee and something to eat. The ladies there spoke Spanish very little English made two cups of coffee when doing so read how I could not leave with anything and go back to my room. walked over to make a waffle and the Spanish lady ran over and started yelling at me no, no, no I make these and pointed at the sign. Ah ok then you might want to stay over there lady and keep your post. There was no fruit very little to choose from. took coffee cups to my room and didn't care what they had to say about it, I would have reminded them they didn't do a great job on the room as it wasn't clean and ready for the guess. Will not ever be coming back to this place and would not refer anyone to stay here. Wyndem owns this place and it was a big reminder why we didn't go into points with them. they don't care how it looks just wants your money.","dirty place","A Traveler","en","Requested a downstairs or lower floor- when we arrived and mind you we called letting them know we would be late getting in. We were on the 3rd floor. The room was dirty, there wasn't any coffee cups or water cups. the roof had water damage. the door was not sealed and the sunlight came in long with the heat. the shower head was like a slow drip if you wanted to rinse you needed to fill the tub and rinse this way. Went down to get coffee and something to eat. The ladies there spoke Spanish very little English made two cups of coffee when doing so read how I could not leave with anything and go back to my room. walked over to make a waffle and the Spanish lady ran over and started yelling at me no, no, no I make these and pointed at the sign. Ah ok then you might want to stay over there lady and keep your post. There was no fruit very little to choose from. took coffee cups to my room and didn't care what they had to say about it, I would have reminded them they didn't do a great job on the room as it wasn't clean and ready for the guess. Will not ever be coming back to this place and would not refer anyone to stay here. Wyndem owns this place and it was a big reminder why we didn't go into points with them. they don't care how it looks just wants your money.","request downstairs low floor arrive mind call let know late get rd floor room dirty wasnt coffee cup water cup roof water damage door seal sunlight come long heat shower head like slow drip want rinse need fill tub rinse way go get coffee something eat lady speak spanish little english make two cup coffee read can leave anything go back room walk make waffle spanish lady run start yell make point sign ah okay may want stay lady keep post fruit little choose take coffee cup room didnt care say remind didnt great job room wasnt clean ready guess will ever come back place refer anyone stay wyndem place big reminder didnt go point dont care look just want money",1,1
"799",21124,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","10/4/2016","Our two night stay was good! We arrived at 10pm. We were welcomed with a friendly front desk receptionist. Beds were comfy. Room was quite spacious, although needs to be updated. However, extremely clean. The only thing we delt with was our bathroom fan kinda had a mind of its own, it would come on and turn off when it wanted to, which wasn't a big deal for us at all. The room we were in was on the first floor facing the parking lot and three rooms away from the dinning area and it was super quiet! Even though we didn't use this feature, the hotel surprisingly had room service!! However, there is a Dennis restaurant right next door. It was a 5 Uber ride from Disneyland to the hotel.","Convenient, clean, reasonably priced for hotel","A Traveler","en","Our two night stay was good! We arrived at 10pm. We were welcomed with a friendly front desk receptionist. Beds were comfy. Room was quite spacious, although needs to be updated. However, extremely clean. The only thing we delt with was our bathroom fan kinda had a mind of its own, it would come on and turn off when it wanted to, which wasn't a big deal for us at all. The room we were in was on the first floor facing the parking lot and three rooms away from the dinning area and it was super quiet! Even though we didn't use this feature, the hotel surprisingly had room service!! However, there is a Dennis restaurant right next door. It was a 5 Uber ride from Disneyland to the hotel."," two night stay good arrive pm welcome friendly front desk receptionist bed comfy room quite spacious although need update however extremely clean thing delt bathroom fan kinda mind come turn want wasnt big deal us room first floor face park lot three room away din area super quiet even though didnt use feature hotel surprisingly room service however dennis restaurant right next door uber ride disneyland hotel",3,5
"800",21140,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","10/8/2016","This hotel is great for the price. A bit of a walk to DL but you can catch free bus at Toy Story parking.","Closed to Disneyland and great breakfast.","A Traveler","en","This hotel is great for the price. A bit of a walk to DL but you can catch free bus at Toy Story parking."," hotel great price bite walk dl can catch free bus toy story park",3,2
"801",21164,"2060 S Harbor Blvd","Anaheim","US","Travelodge Anaheim Convention Center","CA","3/30/2010","worst hotel experience ever. 2 months in advance booking plus check in call still got the wrong room w/broken lights. upgraded to a suite w/a broken toilet & sofa bed. the parking is terrible here!","Great room, terrible parking.","Duy Tran","en","worst hotel experience ever. 2 months in advance booking plus check in call still got the wrong room w/broken lights. upgraded to a suite w/a broken toilet & sofa bed. the parking is terrible here!","bad hotel experience ever month advance book plus check call still get wrong room w break light upgrade suite w break toilet sofa bed park terrible ",1,1
"802",21169,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","6/6/2016","The rooms were good and clean, though, a proper closet and some more space in the room would be better, especially for a family of four sharing a room with two queen beds. There were not too many options for hot breakfast for vegetarian diet. The scrambled eggs or omelettes had meat in them. The toaster was not working properly.","Good but limited options for vegetarians","Bhagyashri B","en","The rooms were good and clean, though, a proper closet and some more space in the room would be better, especially for a family of four sharing a room with two queen beds. There were not too many options for hot breakfast for vegetarian diet. The scrambled eggs or omelettes had meat in them. The toaster was not working properly."," room good clean though proper closet much space room good especially family four share room two queen bed many option hot breakfast vegetarian diet scramble egg omelette meat toaster work properly",3,5
"803",21207,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","4/20/2016","I travel often and stay at hotels at least 3 times a month and this hotel was a overall a good experience. Bathroom needs more lighting and I was not offered my complimentary gift bag as Hilton member. Breakfast was good and staff was super friendly. I would recommend this hotel.","Only If You Need to Be By the Airport...","A Traveler","en","I travel often and stay at hotels at least 3 times a month and this hotel was a overall a good experience. Bathroom needs more lighting and I was not offered my complimentary gift bag as Hilton member. Breakfast was good and staff was super friendly. I would recommend this hotel."," travel often stay hotel less time month hotel overall good experience bathroom need much light offer complimentary gift bag hilton member breakfast good staff super friendly recommend hotel",3,5
"804",21208,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","6/23/2016","Stayed here on a Soccer Weekend. The employees were great. The rooms were updated and very clean. The perfect mix lobby/ breakfast area was BEAUTIFUL! The pool area is decent and the water was nice! The breakfast was one of the best Hampton Inn Breakfast i have had and many of our team famiies said the same thing! Thanks again!... More","Nice Updated Property","mccabe4u","en","Stayed here on a Soccer Weekend. The employees were great. The rooms were updated and very clean. The perfect mix lobby/ breakfast area was BEAUTIFUL! The pool area is decent and the water was nice! The breakfast was one of the best Hampton Inn Breakfast i have had and many of our team famiies said the same thing! Thanks again!... More","stay soccer weekend employee great room update clean perfect mix lobby breakfast area beautiful pool area decent water nice breakfast one good hampton inn breakfast many team famiies say thing thank much",3,5
"805",21257,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","2/12/2016","First, I have to brag on their bedspreads. They use duvet covers and they are replaced for each guest. No more nasty bedspreads that are used between guests. No more sheets folded over the bedspread that often come undone. Internet worked fine, if a bit slow. However, you can pay for premium service if you are going to stream video... More","As good as a luxury hotel","torribug","en","First, I have to brag on their bedspreads. They use duvet covers and they are replaced for each guest. No more nasty bedspreads that are used between guests. No more sheets folded over the bedspread that often come undone. Internet worked fine, if a bit slow. However, you can pay for premium service if you are going to stream video... More","first brag bedspread use duvet cover replace guest much nasty bedspread use guest much sheet fold bedspread often come undo internet work fine bite slow however can pay premium service go stream video much",1,1
"806",21263,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","5/10/2016","Good service from the employees and very easy to find. The only thing is we were traveling with a 15 month old and had his pack and play with us and after setting it up in the king sized room it was a bit tight in space throughout the room.","Good place to stay while in Tucson","jillians965","en","Good service from the employees and very easy to find. The only thing is we were traveling with a 15 month old and had his pack and play with us and after setting it up in the king sized room it was a bit tight in space throughout the room.","good service employee easy find thing travel month old pack play us set king size room bite tight space throughout room",3,4
"807",21290,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","12/17/2015","Nice looking, good location for airport but cleanliness and insects are a concern. The hotel looks newer inside with a nice inviting lobby. The complimentary breakfast was very average - gas station food quality as most items appeared to be microwave food (frozen then microwave) but for under 100/night can you expect more Shuttle service was great and keep in... More","Cockroaches","jollygreenjoe","en","Nice looking, good location for airport but cleanliness and insects are a concern. The hotel looks newer inside with a nice inviting lobby. The complimentary breakfast was very average - gas station food quality as most items appeared to be microwave food (frozen then microwave) but for under 100/night can you expect more Shuttle service was great and keep in... More","nice look good location airport cleanliness insect concern hotel look new inside nice invite lobby complimentary breakfast average gas station food quality much item appear microwave food freeze microwave night can expect much shuttle service great keep much",3,5
"808",21309,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","5/26/2016","Enjoyed our stay and thrilled with the recommendations for dinner!! Dinner at the Four Points was a high light of our stay. Samantha was so very helpful in explaining the room options and suggestions for dinner!","Fun","Dee Jay B","en","Enjoyed our stay and thrilled with the recommendations for dinner!! Dinner at the Four Points was a high light of our stay. Samantha was so very helpful in explaining the room options and suggestions for dinner!","enjoy stay thrill recommendation dinner dinner four point high light stay samantha helpful explain room option suggestion dinner",3,4
"809",21326,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","11/13/2015","When our group arrived there were two smiling young ladies that greeted us checked us all in a polite efficient manner. Freshly baked cookies were available we were invited to a happy hour at 5:00. The happy hour had beer, wine, cheese, veggies, chips 3 choices of dips. The presentation was impressive the staff person... More","Outstanding Staff Customer Service","srashford","en","When our group arrived there were two smiling young ladies that greeted us checked us all in a polite efficient manner. Freshly baked cookies were available we were invited to a happy hour at 5:00. The happy hour had beer, wine, cheese, veggies, chips 3 choices of dips. The presentation was impressive the staff person... More"," group arrive two smile young lady greet us check us polite efficient manner freshly bake cookie available invite happy hour happy hour beer wine cheese veggies chip choice dip presentation impressive staff person much",3,5
"810",21328,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","9/30/2016","It was fine. The neighborhood was a little rundown, but that was the only thing that I noticed.","Easy Access to the Airport","A Traveler","en","It was fine. The neighborhood was a little rundown, but that was the only thing that I noticed."," fine neighborhood little rundown thing notice",3,2
"811",21351,"6971 S Tucson Blvd","Tucson","US","Hampton Inn Tucson-airport","Tuscon","8/11/2016","If you are looking for a good place to stay when you are going in out (quick trip) of Tucson, the Holiday Inn at the Airport is the place. No issues with room, clean, comfortable, wifi worked well, no waiting time for check-in, breakfast, and next to airport.","Quick stop in Tucson","Kate C","en","If you are looking for a good place to stay when you are going in out (quick trip) of Tucson, the Holiday Inn at the Airport is the place. No issues with room, clean, comfortable, wifi worked well, no waiting time for check-in, breakfast, and next to airport."," look good place stay go quick trip tucson holiday inn airport place issue room clean comfortable wifi work good wait time check breakfast next airport",3,5
"812",21363,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","4/12/2016","Stayed 2 nights, very enjoyable.","Yes","Mary","en","Stayed 2 nights, very enjoyable.","stay night enjoyable",3,2
"813",21374,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","4/22/2016","Will definitely stay there again when I'm in town. Staff was very friendly!","Bring your boat!","Melinda","en","Will definitely stay there again when I'm in town. Staff was very friendly!","will definitely stay im town staff friendly",3,3
"814",21381,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","7/22/2016","We have stayed at Palm Suites for years but this particular time our room was not exactly what we had Asfoor website had us down for a king bed but it was only a queen also advertised a laundry mat which we did not have which really inconvenienced me because we were there for a baseball we love the hotel the. We we love the hotel the pier the pool but I was just really disappointed about the smaller bed and laundry . The bathroom was just too small and hot. And there was no closet had to hang clothes on curtain rod .","Good Deal","A Traveler","en","We have stayed at Palm Suites for years but this particular time our room was not exactly what we had Asfoor website had us down for a king bed but it was only a queen also advertised a laundry mat which we did not have which really inconvenienced me because we were there for a baseball we love the hotel the. We we love the hotel the pier the pool but I was just really disappointed about the smaller bed and laundry . The bathroom was just too small and hot. And there was no closet had to hang clothes on curtain rod ."," stay palm suite year particular time room exactly asfoor website us king bed queen also advertise laundry mat really inconvenience baseball love hotel love hotel pier pool just really disappoint small bed laundry bathroom just small hot closet hang clothe curtain rod",1,4
"815",21400,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","4/1/2016","Was a super friendly staff and clean comphy super cute beachy room with great sound view and it was very quiet","Supercute beach themed rooms","Karina","en","Was a super friendly staff and clean comphy super cute beachy room with great sound view and it was very quiet"," super friendly staff clean comphy super cute beachy room great sound view quiet",3,5
"816",21429,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","4/22/2016","Stayed 3 days, 2 nights. Easy access, peaceful, room is cozy but modern. Kitchen in room, convenient, room service daily and as needed. 2 adults and our 3yr old daughter stayed. We loved it","Great Destination Hotel","Nicole","en","Stayed 3 days, 2 nights. Easy access, peaceful, room is cozy but modern. Kitchen in room, convenient, room service daily and as needed. 2 adults and our 3yr old daughter stayed. We loved it","stay day night easy access peaceful room cozy modern kitchen room convenient room service daily need adult yr old daughter stay love ",3,4
"817",21457,"602 W Fort Macon Rd","Atlantic Beach","US","Palm Suites","Pine Knoll Shores","9/24/2016","The hotel is one of my favorites. It's affordable and very convenient. The staff was super friendly. I have stayed here on many occasions and looking forward to our return trip.","Wonderful stay!","A Traveler","en","The hotel is one of my favorites. It's affordable and very convenient. The staff was super friendly. I have stayed here on many occasions and looking forward to our return trip."," hotel one favorite affordable convenient staff super friendly stay many occasion look forward return trip",3,4
"818",21462,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","2/19/2016","We loved our weekend getaway stay at the Hampton Inn Tutwiler. The building is so charming and the staff was efficient and friendly. We would definitely recommend this hotel to others and will make plans to stay here again in the future.","Historic Charm","rebecca","en","We loved our weekend getaway stay at the Hampton Inn Tutwiler. The building is so charming and the staff was efficient and friendly. We would definitely recommend this hotel to others and will make plans to stay here again in the future."," love weekend getaway stay hampton inn tutwiler build charm staff efficient friendly definitely recommend hotel will make plan stay future",3,5
"819",21467,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","1/24/2016","Beautiful hotel with spacious comfortable room, but after a 3 hour flight I was unable to get s nightcap. The bar closed over an hour early. Quite disappointing.","Friendly staff and good service","Susan","en","Beautiful hotel with spacious comfortable room, but after a 3 hour flight I was unable to get s nightcap. The bar closed over an hour early. Quite disappointing.","beautiful hotel spacious comfortable room hour flight unable get s nightcap bar close hour early quite disappoint",1,2
"820",21474,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","10/3/2015","We were unable to get the shuttle van to pick us up from a concert downtown and the breakfast was mediocre it wasn't for everyone","Weekend Visit Kind Of Steep!","Laquanta","en","We were unable to get the shuttle van to pick us up from a concert downtown and the breakfast was mediocre it wasn't for everyone"," unable get shuttle van pick us concert downtown breakfast mediocre wasnt everyone",3,2
"821",21497,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","12/14/2015","It was average. Food was average. Restaurant service was excellent.","Two stars","A Traveler","fr","IT WAS AVERAGE. Food Was Average. Restaurant Service Was Excellent."," average food average restaurant service excellent",3,4
"822",21510,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","4/10/2016","Stayed here for the second time. Both visits were to attend concerts at the BJCC. It is an easy walk from the hotel. Love the historic aspects of this property. Staff are very helpful.","Quick concert getaway","A Traveler","en","Stayed here for the second time. Both visits were to attend concerts at the BJCC. It is an easy walk from the hotel. Love the historic aspects of this property. Staff are very helpful.","stay time visit attend concert bjcc easy walk hotel love historic aspect property staff helpful",3,4
"823",21512,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","8/9/2016","How is this place still open","I WONT EVER STAY HERE AGAIN!","A Traveler","en","How is this place still open"," place still open",3,2
"824",21536,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","12/26/2013","The Hereford Beef Filet was fantastic, but you'll definitely want a soup or salad + maaaaybe dessert to fill you up!","A lovely spot ...","Steve Hall","en","The Hereford Beef Filet was fantastic, but you'll definitely want a soup or salad + maaaaybe dessert to fill you up!"," hereford beef filet fantastic youll definitely want soup salad maaaaybe dessert fill ",3,3
"825",21546,"2021 Park Pl","Birmingham","US","Hampton Inn & Suites-downtown-tutwiler","AL","9/20/2011","Another reason to stay at this Hampton: AT&T Wi-Fi is one of the many great amenities for guests. Look for the StayConnected program. It���s free, fast and easy to connect.","Beautiful place","AT&T","en","Another reason to stay at this Hampton: AT&T Wi-Fi is one of the many great amenities for guests. Look for the StayConnected program. It���s free, fast and easy to connect.","another reason stay hampton t wi fi one many great amenity guest look stayconnected program ���s free fast easy connect",3,3
